"","Site","Location","Replicate","Minutes","Estuary","Sample.num","Timed","NH4","NO2","NO3","NOx","PO4","DSi","Speed","Turbidity.value","Velocity.ms","Turbidity.gl","Height","HeightWat","VolumeWat"
"1","PP",200,4,0,"WS",0,0,3.355,0.185,38.665,38.85,0.785,224.28,0,4949,0,0.173,0.1,26,0.01276272
"2","PP",200,4,12,"WS",5,0.00833333333333333,3.75,0.24,39.18,39.42,1.29,258.73,40,5010,0.149,0.497,0.1,26,0.01276272
"3","PP",200,4,30,"WS",9,0.0208333333333333,4.46,0.29,40.29,40.58,2.8,234.63,50,5120,0.175,2.444,0.1,26,0.01276272
"4","PP",200,4,47,"WS",12,0.0326388888888889,4.64,0.31,30.75,31.06,3,175.13,60,5195,0.203,9.428,0.1,26,0.01276272
"5","PP",200,4,25,"WS",8,0.0173611111111111,4.33,0.27,40.3,40.57,2.33,235.43,50,5089,0.175,2.154,0.1,26,0.01276272
"6","PP",200,4,37,"WS",11,0.0256944444444444,4.84,0.27,29.03,29.3,2.69,154.63,60,5162,0.203,7.417,0.1,26,0.01276272
"7","PP",200,4,17,"WS",6,0.0118055555555556,4.01,0.25,40.69,40.94,1.6,233.33,40,5040,0.149,0.525,0.1,26,0.01276272
"8","PP",200,4,32,"WS",10,0.0222222222222222,4.01,0.23,30.86,31.09,2.34,164.63,60,5131,0.203,4.801,0.1,26,0.01276272
"9","PP",200,4,20,"WS",7,0.0138888888888889,3.67,0.22,34.21,34.43,1.55,214.53,50,5060,0.175,1.389,0.1,26,0.01276272
"10","PP",200,4,7,"WS",4,0.00486111111111111,3.78,0.22,40.98,41.2,1.07,227.53,40,4980,0.149,0.444,0.1,26,0.01276272
"11","PP",200,5,19,"WS",7,0.0131944444444444,2,0.15,29.73,29.88,1.48,192.13,50,5374,0.175,2.312,0.1,26,0.01276272
"12","PP",200,5,42,"WS",12,0.0291666666666667,3.91,0.31,38.37,38.68,4.6,214.23,60,5510,0.203,16.106,0.1,26,0.01276272
"13","PP",200,5,16,"WS",6,0.0111111111111111,1.78,0.14,34.22,34.36,1.28,199.33,40,5356,0.149,0.613,0.1,26,0.01276272
"14","PP",200,5,6,"WS",4,0.00416666666666667,1.39,0.11,35.91,36.02,0.84,211.23,40,5296,0.149,0.387,0.1,26,0.01276272
"15","PP",200,5,37,"WS",11,0.0256944444444444,3.64,0.26,36.87,37.13,4.1,211.93,60,5480,0.203,14.325,0.1,26,0.01276272
"16","PP",200,5,11,"WS",5,0.00763888888888889,1.75,0.14,37.35,37.49,1.19,212.23,40,5328,0.149,0.569,0.1,26,0.01276272
"17","PP",200,5,24,"WS",8,0.0166666666666667,2.7,0.17,31.1,31.27,2.22,193.43,50,5405,0.175,4.54,0.1,26,0.01276272
"18","PP",200,5,29,"WS",9,0.0201388888888889,2.97,0.21,39.57,39.78,3.2,234.43,50,5434,0.175,5.934,0.1,26,0.01276272
"19","PP",200,5,0,"WS",0,0,1.715,0.145,37.245,37.39,0.765,215.58,0,5264,0,0.173,0.1,26,0.01276272
"20","PP",200,5,32,"WS",10,0.0222222222222222,3.53,0.22,37.69,37.91,3.5,210.23,60,5480,0.203,14.325,0.1,26,0.01276272
"21","PP",200,6,6,"WS",4,0.00416666666666667,2.18,0.21,37.46,37.67,0.84,206.03,40,5599,0.149,0.539,0.1,26,0.01276272
"22","PP",200,6,24,"WS",8,0.0166666666666667,1.88,0.17,35.64,35.81,1.96,228.23,50,5708,0.175,1.559,0.1,26,0.01276272
"23","PP",200,6,29,"WS",9,0.0201388888888889,2.09,0.19,37.7,37.89,2.22,228.93,50,5736,0.175,2.377,0.1,26,0.01276272
"24","PP",200,6,38,"WS",11,0.0263888888888889,3.3,0.28,40.22,40.5,3.21,217.43,60,5778,0.203,6.937,0.1,26,0.01276272
"25","PP",200,6,19,"WS",7,0.0131944444444444,1.74,0.16,40.23,40.39,1.55,239.03,50,5677,0.175,1.067,0.1,26,0.01276272
